year,squad,no,pos,player,date_of_birth_age,caps,club,player_url,club_fa_url,club_fa,club_2,club_country,club_country_flag,goals,captain,player_original,nat_team,club_country_harm,nat_team_alpha3,club_alpha3
1993,Paraguay,8,MF,Gustavo Sotelo,(1968-03-16)16 March 1968 (aged 25),NA,Cerro Porteño,/wiki/Gustavo_Sotelo,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Cerro Porteño,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Gustavo Sotelo,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,9,MF,Luis Alberto Monzón,(1970-05-26)26 May 1970 (aged 23),NA,Olimpia Asunción,/wiki/Luis_Alberto_Monz%C3%B3n,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Luis Alberto Monzón,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,10,FW,Roberto Cabañas,(1961-04-20)20 April 1961 (aged 32),NA,Boca Juniors,/wiki/Roberto_Caba%C3%B1as,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Roberto Cabañas,Paraguay,Argentina,PRY,ARG
1993,Paraguay,11,FW,Carlos Luis Torres,(1968-03-10)10 March 1968 (aged 25),NA,Racing Club,/wiki/Carlos_Luis_Torres,/wiki/Argentine_Football_Association,Argentine Football Association,Racing Club,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Carlos Luis Torres,Paraguay,Argentina,PRY,ARG
1993,Paraguay,12,GK,Derlis Gómez,(1972-11-02)2 November 1972 (aged 20),NA,Club Sol de América,/wiki/Derlis_G%C3%B3mez,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Club Sol de América,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Derlis Gómez,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,13,DF,Andrés Duarte,(1972-02-04)4 February 1972 (aged 21),NA,Cerro Porteño,/wiki/Andr%C3%A9s_Duarte,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Cerro Porteño,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Andrés Duarte,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,14,DF,Juan Ramón Jara,(1970-08-06)6 August 1970 (aged 22),NA,Olimpia Asunción,/wiki/Juan_Ram%C3%B3n_Jara,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Juan Ramón Jara,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,15,DF,Juan Carlos Villamayor,(1969-03-05)5 March 1969 (aged 24),NA,Colchagua,/wiki/Juan_Carlos_Villamayor,/wiki/Football_Federation_of_Chile,Football Federation of Chile,Colchagua,Chile,//upload.wikimedia.org/wikipedia/commons//7/78/Flag_of_Chile.svg,NA,FALSE,Juan Carlos Villamayor,Paraguay,Chile,PRY,CHL
1993,Paraguay,16,DF,Vidal Sanabria,(1967-04-11)11 April 1967 (aged 26),NA,Olimpia Asunción,/wiki/Vidal_Sanabria,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Vidal Sanabria,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,17,MF,Roberto Acuña,(1972-03-25)25 March 1972 (aged 21),NA,Club Nacional,/wiki/Roberto_Acu%C3%B1a,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Club Nacional,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Roberto Acuña,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,18,FW,Jorge Amado Nunes,(1961-10-18)18 October 1961 (aged 31),NA,Universitario de Deportes,/wiki/Jorge_Amado_Nunes,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Jorge Amado Nunes,Paraguay,Peru,PRY,PER
1993,Paraguay,19,MF,Gabriel González,(1961-03-18)18 March 1961 (aged 32),NA,Olimpia Asunción,/wiki/Gabriel_Gonz%C3%A1lez_(Paraguayan_footballer),/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Gabriel González,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,20,MF,Virgilio Ferreira,(1973-01-28)28 January 1973 (aged 20),NA,Cerro Porteño,/wiki/Virgilio_Ferreira,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Cerro Porteño,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Virgilio Ferreira,Paraguay,Paraguay,PRY,PRY
1993,Paraguay,21,FW,Marcial Garay [it],(1968-04-29)29 April 1968 (aged 25),NA,Olimpia Asunción,/w/index.php?title=Marcial_Garay&action=edit&redlink=1,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Marcial Garay [it],Paraguay,Paraguay,PRY,PRY
1993,Paraguay,22,GK,Celso Guerrero,(1972-04-17)17 April 1972 (aged 21),NA,Club Libertad,/wiki/Celso_Guerrero,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Club Libertad,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Celso Guerrero,Paraguay,Paraguay,PRY,PRY
1993,Peru,1,GK,Miguel Miranda,(1966-08-13)13 August 1966 (aged 26),NA,Sporting Cristal,/wiki/Miguel_Miranda,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Miguel Miranda,Peru,Peru,PER,PER
1993,Peru,2,DF,Jorge Soto,(1971-10-27)27 October 1971 (aged 21),NA,Sporting Cristal,/wiki/Jorge_Soto_(footballer),/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Jorge Soto,Peru,Peru,PER,PER
1993,Peru,3,DF,Juan Reynoso,(1969-12-28)28 December 1969 (aged 23),NA,Universitario de Deportes,/wiki/Juan_Reynoso_Guzm%C3%A1n,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Juan Reynoso,Peru,Peru,PER,PER
1993,Peru,4,DF,Percy Olivares,(1968-06-05)5 June 1968 (aged 25),NA,Sporting Cristal,/wiki/Percy_Olivares,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Percy Olivares,Peru,Peru,PER,PER
1993,Peru,5,DF,José Soto,(1970-01-11)11 January 1970 (aged 23),NA,Alianza Lima,/wiki/Jos%C3%A9_Soto_(Peruvian_footballer),/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,José Soto,Peru,Peru,PER,PER
1993,Peru,6,MF,José Luis Carranza,(1964-01-08)8 January 1964 (aged 29),NA,Universitario de Deportes,/wiki/Jos%C3%A9_Luis_Carranza,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,José Luis Carranza,Peru,Peru,PER,PER
1993,Peru,7,FW,Flavio Maestri,(1973-01-21)21 January 1973 (aged 20),NA,Sporting Cristal,/wiki/Flavio_Maestri,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Flavio Maestri,Peru,Peru,PER,PER
1993,Peru,8,MF,José del Solar,(1967-11-28)28 November 1967 (aged 25),NA,Tenerife,/wiki/Jos%C3%A9_del_Solar,/wiki/Royal_Spanish_Football_Federation,Royal Spanish Football Federation,Tenerife,Spain,//upload.wikimedia.org/wikipedia/en//9/9a/Flag_of_Spain.svg,NA,FALSE,José del Solar,Peru,Spain,PER,ESP
1993,Peru,9,DF,Andrés González [it],(1968-04-08)8 April 1968 (aged 25),NA,Universitario de Deportes,/w/index.php?title=Andr%C3%A9s_Gonz%C3%A1lez_(Peruvian_footballer)&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Andrés González [it],Peru,Peru,PER,PER
1993,Peru,10,FW,Pablo Zegarra,(1973-04-01)1 April 1973 (aged 20),NA,Sporting Cristal,/wiki/Pablo_Zegarra,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Pablo Zegarra,Peru,Peru,PER,PER
1993,Peru,11,FW,Julio César Rivera,(1967-04-12)12 April 1967 (aged 26),NA,Sporting Cristal,/wiki/Julio_Rivera,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Julio César Rivera,Peru,Peru,PER,PER
1993,Peru,12,GK,Juan Carlos Zubczuk,(1965-03-31)31 March 1965 (aged 28),NA,Universitario de Deportes,/wiki/Juan_Carlos_Zubczuk,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Juan Carlos Zubczuk,Peru,Peru,PER,PER
1993,Peru,13,FW,Mario Rodríguez [it],(1972-03-18)18 March 1972 (aged 21),NA,Alianza Lima,/w/index.php?title=Mario_Rodr%C3%ADguez_(Peruvian_footballer)&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Mario Rodríguez [it],Peru,Peru,PER,PER
1993,Peru,14,MF,Roberto Martínez,(1967-12-03)3 December 1967 (aged 25),NA,Universitario de Deportes,/wiki/Roberto_Mart%C3%ADnez_Vera-Tudela,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Roberto Martínez,Peru,Peru,PER,PER
1993,Peru,15,MF,Roberto Palacios,(1972-12-28)28 December 1972 (aged 20),NA,Sporting Cristal,/wiki/Roberto_Palacios,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Roberto Palacios,Peru,Peru,PER,PER
1993,Peru,16,DF,César Charún,(1970-10-25)25 October 1970 (aged 22),NA,Universitario de Deportes,/wiki/C%C3%A9sar_Char%C3%BAn,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario de Deportes,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,César Charún,Peru,Peru,PER,PER
1993,Peru,17,DF,Darío Muchotrigo,(1970-12-17)17 December 1970 (aged 22),NA,Alianza Lima,/wiki/Dar%C3%ADo_Muchotrigo,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Darío Muchotrigo,Peru,Peru,PER,PER
1993,Peru,18,MF,Alvaro Barco,(1967-06-27)27 June 1967 (aged 25),NA,Cobreloa,/wiki/Alvaro_Barco,/wiki/Football_Federation_of_Chile,Football Federation of Chile,Cobreloa,Chile,//upload.wikimedia.org/wikipedia/commons//7/78/Flag_of_Chile.svg,NA,FALSE,Alvaro Barco,Peru,Chile,PER,CHL
1993,Peru,19,MF,Germán Carty,(1968-07-16)16 July 1968 (aged 24),NA,Sport Boys,/wiki/Germ%C3%A1n_Carty,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sport Boys,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Germán Carty,Peru,Peru,PER,PER
1993,Peru,20,FW,Waldir Sáenz,(1973-05-15)15 May 1973 (aged 20),NA,Alianza Lima,/wiki/Waldir_S%C3%A1enz,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Waldir Sáenz,Peru,Peru,PER,PER
1993,Peru,21,GK,Agapito Rodríguez [it],(1965-03-16)16 March 1965 (aged 28),NA,Alianza Lima,/w/index.php?title=Agapito_Rodr%C3%ADguez&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Agapito Rodríguez [it],Peru,Peru,PER,PER
1993,Argentina,1,GK,Sergio Goycochea,(1963-10-17)17 October 1963 (aged 29),NA,Olimpia Asunción,/wiki/Sergio_Goycochea,/wiki/Paraguayan_Football_Association,Paraguayan Football Association,Olimpia Asunción,Paraguay,//upload.wikimedia.org/wikipedia/commons//e/ec/Flag_of_Paraguay_%281990%E2%80%932013%29.svg,NA,FALSE,Sergio Goycochea,Argentina,Paraguay,ARG,PRY
1993,Argentina,2,DF,Sergio Vázquez,(1965-11-23)23 November 1965 (aged 27),NA,Universidad Católica,/wiki/Sergio_V%C3%A1zquez,/wiki/Football_Federation_of_Chile,Football Federation of Chile,Universidad Católica,Chile,//upload.wikimedia.org/wikipedia/commons//7/78/Flag_of_Chile.svg,NA,FALSE,Sergio Vázquez,Argentina,Chile,ARG,CHL
1993,Argentina,3,DF,Ricardo Altamirano,(1965-12-12)12 December 1965 (aged 27),NA,River Plate,/wiki/Ricardo_Altamirano,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Ricardo Altamirano,Argentina,Argentina,ARG,ARG
1993,Argentina,4,DF,Fabián Basualdo,(1964-02-26)26 February 1964 (aged 29),NA,River Plate,/wiki/Fabi%C3%A1n_Basualdo,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Fabián Basualdo,Argentina,Argentina,ARG,ARG
1993,Argentina,5,MF,Fernando Redondo,(1969-06-06)6 June 1969 (aged 24),NA,Tenerife,/wiki/Fernando_Redondo,/wiki/Royal_Spanish_Football_Federation,Royal Spanish Football Federation,Tenerife,Spain,//upload.wikimedia.org/wikipedia/en//9/9a/Flag_of_Spain.svg,NA,FALSE,Fernando Redondo,Argentina,Spain,ARG,ESP
1993,Argentina,6,DF,Oscar Ruggeri,(1962-01-26)26 January 1962 (aged 31),NA,América,/wiki/Oscar_Ruggeri,/wiki/Mexican_Football_Federation,Mexican Football Federation,América,Mexico,//upload.wikimedia.org/wikipedia/commons//f/fc/Flag_of_Mexico.svg,NA,FALSE,Oscar Ruggeri,Argentina,Mexico,ARG,MEX
1993,Argentina,7,FW,Ramón Medina Bello,(1966-04-29)29 April 1966 (aged 27),NA,River Plate,/wiki/Ram%C3%B3n_Medina_Bello,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Ramón Medina Bello,Argentina,Argentina,ARG,ARG
1993,Argentina,23,MF,Jose Basualdo,(1963-06-20)20 June 1963 (aged 29),NA,Velez Sarsfield,/wiki/Jose_Basualdo,/wiki/Argentine_Football_Association,Argentine Football Association,Velez Sarsfield,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Jose Basualdo,Argentina,Argentina,ARG,ARG
1993,Argentina,9,FW,Gabriel Batistuta,(1969-02-01)1 February 1969 (aged 24),NA,Fiorentina,/wiki/Gabriel_Batistuta,/wiki/Italian_Football_Federation,Italian Football Federation,Fiorentina,Italy,//upload.wikimedia.org/wikipedia/en//0/03/Flag_of_Italy.svg,NA,FALSE,Gabriel Batistuta,Argentina,Italy,ARG,ITA
1993,Argentina,10,MF,Diego Simeone,(1970-04-28)28 April 1970 (aged 23),NA,Sevilla,/wiki/Diego_Simeone,/wiki/Royal_Spanish_Football_Federation,Royal Spanish Football Federation,Sevilla,Spain,//upload.wikimedia.org/wikipedia/en//9/9a/Flag_of_Spain.svg,NA,FALSE,Diego Simeone,Argentina,Spain,ARG,ESP
1993,Argentina,11,MF,Néstor Gorosito,(1964-05-14)14 May 1964 (aged 29),NA,San Lorenzo,/wiki/N%C3%A9stor_Gorosito,/wiki/Argentine_Football_Association,Argentine Football Association,San Lorenzo,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Néstor Gorosito,Argentina,Argentina,ARG,ARG
1993,Argentina,12,GK,Luis Islas,(1965-12-22)22 December 1965 (aged 27),NA,Independiente,/wiki/Luis_Islas,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Luis Islas,Argentina,Argentina,ARG,ARG
1993,Argentina,13,DF,Fernando Cáceres,(1969-02-07)7 February 1969 (aged 24),NA,River Plate,/wiki/Fernando_C%C3%A1ceres,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Fernando Cáceres,Argentina,Argentina,ARG,ARG
1993,Argentina,14,DF,Néstor Craviotto,(1963-10-03)3 October 1963 (aged 29),NA,Independiente,/wiki/N%C3%A9stor_Craviotto,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Néstor Craviotto,Argentina,Argentina,ARG,ARG
1993,Argentina,15,DF,Jorge Borelli,(1964-11-02)2 November 1964 (aged 28),NA,Racing Club,/wiki/Jorge_Borelli,/wiki/Argentine_Football_Association,Argentine Football Association,Racing Club,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Jorge Borelli,Argentina,Argentina,ARG,ARG
1993,Argentina,16,MF,Claudio García,(1963-08-24)24 August 1963 (aged 29),NA,Racing Club,/wiki/Claudio_Garc%C3%ADa,/wiki/Argentine_Football_Association,Argentine Football Association,Racing Club,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Claudio García,Argentina,Argentina,ARG,ARG
1993,Argentina,17,MF,Gustavo Zapata,(1967-10-15)15 October 1967 (aged 25),NA,River Plate,/wiki/Gustavo_Zapata,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Gustavo Zapata,Argentina,Argentina,ARG,ARG
1993,Argentina,18,FW,Alberto Acosta,(1966-08-23)23 August 1966 (aged 26),NA,Boca Juniors,/wiki/Alberto_Acosta,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Alberto Acosta,Argentina,Argentina,ARG,ARG
1993,Argentina,19,FW,Julio Alberto Zamora,(1966-03-11)11 March 1966 (aged 27),NA,Newell's Old Boys,/wiki/Julio_Alberto_Zamora,/wiki/Argentine_Football_Association,Argentine Football Association,Newell's Old Boys,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Julio Alberto Zamora,Argentina,Argentina,ARG,ARG
1993,Argentina,20,MF,Leonardo Rodríguez,(1966-08-27)27 August 1966 (aged 26),NA,Atalanta,/wiki/Leonardo_Rodr%C3%ADguez,/wiki/Italian_Football_Federation,Italian Football Federation,Atalanta,Italy,//upload.wikimedia.org/wikipedia/en//0/03/Flag_of_Italy.svg,NA,FALSE,Leonardo Rodríguez,Argentina,Italy,ARG,ITA
1993,Argentina,21,GK,Norberto Scoponi,(1961-01-13)13 January 1961 (aged 32),NA,Newell's Old Boys,/wiki/Norberto_Scoponi,/wiki/Argentine_Football_Association,Argentine Football Association,Newell's Old Boys,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Norberto Scoponi,Argentina,Argentina,ARG,ARG
1993,Argentina,22,MF,Alejandro Mancuso,(1968-09-04)4 September 1968 (aged 24),NA,Boca Juniors,/wiki/Alejandro_Mancuso,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Alejandro Mancuso,Argentina,Argentina,ARG,ARG
1993,Bolivia,1,GK,Dario Rojas,(1961-01-20)20 January 1961 (aged 32),NA,Oriente Petrolero,/wiki/Dario_Rojas,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Oriente Petrolero,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Dario Rojas,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,2,DF,Juan Manuel Peña,(1973-01-17)17 January 1973 (aged 20),NA,Blooming,/wiki/Juan_Manuel_Pe%C3%B1a,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Blooming,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Juan Manuel Peña,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,3,DF,Marco Sandy,(1971-08-29)29 August 1971 (aged 21),NA,Bolivar,/wiki/Marco_Sandy,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Bolivar,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Marco Sandy,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,4,DF,Miguel Rimba,(1967-11-01)1 November 1967 (aged 25),NA,Bolivar,/wiki/Miguel_Rimba,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Bolivar,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Miguel Rimba,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,5,DF,Gustavo Quinteros,(1965-02-15)15 February 1965 (aged 28),NA,Club San José,/wiki/Gustavo_Quinteros,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Club San José,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Gustavo Quinteros,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,6,MF,Carlos Borja,(1965-12-25)25 December 1965 (aged 27),NA,Bolivar,/wiki/Carlos_Borja_(Bolivian_footballer),/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Bolivar,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Carlos Borja,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,7,FW,Johnny Villarroel [it],(1968-08-11)11 August 1968 (aged 24),1,The Strongest,/w/index.php?title=Johnny_Villarroel&action=edit&redlink=1,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,The Strongest,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Johnny Villarroel [it],Bolivia,Bolivia,BOL,BOL
1993,Bolivia,8,MF,José Melgar,(1959-09-20)20 September 1959 (aged 33),NA,The Strongest,/wiki/Jos%C3%A9_Melgar,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,The Strongest,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,José Melgar,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,9,FW,Álvaro Peña,(1966-02-11)11 February 1966 (aged 27),NA,Deportes Temuco,/wiki/%C3%81lvaro_Pe%C3%B1a_(Bolivian_footballer),/wiki/Football_Federation_of_Chile,Football Federation of Chile,Deportes Temuco,Chile,//upload.wikimedia.org/wikipedia/commons//7/78/Flag_of_Chile.svg,NA,FALSE,Álvaro Peña,Bolivia,Chile,BOL,CHL
1993,Bolivia,10,FW,Marco Etcheverry,(1970-09-26)26 September 1970 (aged 22),NA,Bolivar,/wiki/Marco_Etcheverry,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Bolivar,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Marco Etcheverry,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,11,FW,Jaime Moreno,(1974-01-19)19 January 1974 (aged 19),NA,Blooming,"/wiki/Jaime_Moreno_(footballer,_born_1974)",/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Blooming,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Jaime Moreno,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,12,GK,Marcelo Torrico,(1972-01-11)11 January 1972 (aged 21),NA,The Strongest,/wiki/Marcelo_Torrico,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,The Strongest,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Marcelo Torrico,Bolivia,Bolivia,BOL,BOL
1993,Bolivia,13,DF,Modesto Soruco,(1966-02-12)12 February 1966 (aged 27),NA,Blooming,/wiki/Modesto_Soruco,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Blooming,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Modesto Soruco,Bolivia,Bolivia,BOL,BOL
